//Starting Program
Trial: 1 1
Trial Type 2
Lick 830618
Lick 830720
Lick 830821
Lick 830922
Lick 831023
Lick 831124
Lick 831225
Lick 831286
Lick 831388
Lick 831489
Lick 831611
Lick 831712
Lick 831813
Lick 831915
Lick 832016
Lick 832117
Lick 832218
Lick 832319
Lick 832420
Lick 832521
Lick 832622
Lick 832723
Lick 832824
Lick 832925
Lick 833026
Lick 833127
Lick 833228
Lick 833329
Lick 833430
Lick 833531
Lick 833632
Lick 833733
Lick 833835
Lick 833936
Lick 834037
Lick 834138
Lick 834239
Lick 834340
Lick 834441
Lick 834542
Lick 834643
Lick 834744
Lick 834845
Lick 834946
Lick 835047
Lick 835148
Lick 835249
Lick 835350
Lick 835451
Lick 835552
Lick 835653
Lick 835755
Lick 835856
Lick 835957
Lick 836058
Lick 836159
Lick 836260
Lick 836361
Lick 836462
Lick 836563
Lick 836664
Lick 836765
Lick 836866
Lick 836967
Lick 837068
Trial: 40 837085
Trial Type 2
Lick 837169
Lick 837270
Lick 837371
Lick 837472
Lick 837573
On 839085
Off 840585
RPoke 840663
RPoke 840839
Lick 842370
Lick 842471
Lick 842510
Lick 842660
Lick 842761
Lick 843039
Reward 843087
Lick 843140
Lick 843261
Lick 843362
Lick 843463
Lick 843564
Lick 843665
Lick 843768
Lick 843869
Lick 843958
ITI 844087
Lick 844088
Lick 844286
Lick 844387
Lick 844542
Lick 844643
Lick 844744
Lick 844845
Lick 844946
Lick 845047
Lick 845148
Lick 845249
Lick 845350
Lick 845451
Lick 845552
Lick 845654
Lick 845755
Lick 846091
Lick 846192
Lick 846294
Lick 846395
Lick 846558
Lick 846660
Lick 846761
Lick 846862
Lick 846963
Lick 847064
Lick 847165
Lick 847266
Lick 847367
Lick 847497
Trial: 41 860087
Trial Type 1
On 862087
RPoke 862546
Off 863587
Lick 864779
Lick 864880
Lick 864986
Lick 865087
Lick 865347
Lick 865448
Lick 865498
Lick 865599
Lick 865700
Reward 866089
Lick 866491
Lick 866592
Lick 866693
Lick 866794
Lick 866895
Lick 866992
ITI 867089
Lick 867093
Lick 867204
Lick 867305
Lick 867406
Lick 867507
Lick 867608
Lick 867709
Lick 867810
Lick 867911
Lick 868012
Lick 868113
Lick 868214
Lick 868315
Lick 868399
Lick 868523
Lick 868624
Lick 868725
Lick 868826
Lick 868927
Lick 869028
Lick 869129
Lick 869230
Lick 869331
Lick 869432
Lick 869533
Lick 869634
Lick 869735
Lick 869836
Lick 869937
Lick 870038
Lick 870139
Lick 870240
Lick 870341
Lick 870443
Lick 870544
Lick 870645
Lick 870746
Lick 870847
Lick 870948
Lick 871049
Lick 871150
Lick 871251
Lick 871352
Lick 871453
Lick 871554
Lick 871655
Lick 871756
Lick 871857
Lick 871958
Lick 872059
Lick 872160
Lick 872261
Lick 872363
Lick 872464
Lick 872565
Lick 872666
Lick 872767
Lick 872868
Lick 872969
Lick 873070
